LAT,LON,MONTH,PCO2_SW,MOD_SST,VCO2_AIR,PCO2_AIR,PBARO,SST,SAL,DELTA_PCO2,WINDSPEED,P_VEL_SW06,GASCOEFSW,K0_CO2,AREA_MKM2,ICE_PCT,FLUXM2SW06,FLUXGMSW06,TFLUXSW06
0,2.5,1,378.81,26.49,369.32,354.93,1011,28.08,34.29,23.88,4.03,5.12,0.0010089,0.026993,0.247287,0,0.024093,0.289357,0.0000716
0,7.5,1,374.26,25.51,369.32,354.74,1010.7,28.16,32.11,19.52,3.48,3.83,0.0007604,0.027196,0.247287,0,0.014843,0.178264,0.0000441
0,47.5,1,382.34,27.08,369.32,356.12,1011.5,26.78,35.33,26.22,7.88,18.92,0.0038311,0.027738,0.247287,0,0.100451,1.206417,0.0002984
0,52.5,1,380.44,26.41,369.32,355.82,1011.5,27.17,35.34,24.62,6.83,14.36,0.0028798,0.027472,0.247287,0,0.070901,0.851521,0.0002106
0,57.5,1,376.99,27.42,369.32,355.16,1011.3,27.93,35.28,21.83,6.15,11.87,0.0023374,0.026975,0.247287,0,0.051025,0.61281,0.0001516
0,62.5,1,374.8,27.58,369.32,354.7,1011.1,28.42,35.16,20.1,5.53,9.73,0.0018945,0.026673,0.247287,0,0.038079,0.457329,0.0001131
0,67.5,1,376.14,28.02,369.32,354.53,1010.9,28.53,35.04,21.61,5.04,8.1,0.0015738,0.026616,0.247287,0,0.03401,0.40846,0.000101
0,72.5,1,372.51,28.18,369.32,354.53,1011,28.58,34.84,17.98,5.26,8.84,0.001717,0.026607,0.247287,0,0.030872,0.370773,0.0000917
0,77.5,1,367.21,28.13,369.32,354.33,1010.8,28.73,34.74,12.88,5.6,10.06,0.0019478,0.026524,0.247287,0,0.025088,0.301307,0.0000745
0,82.5,1,364.61,28.14,369.32,354.15,1010.5,28.81,34.69,10.46,5.36,9.24,0.001786,0.026479,0.247287,0,0.018682,0.224371,0.0000555
0,87.5,1,362.72,28.04,369.32,353.93,1010.2,28.95,34.56,8.79,4.56,6.71,0.0012934,0.026405,0.247287,0,0.011369,0.136542,0.0000338
0,92.5,1,359.58,28.41,369.32,353.72,1010.1,29.15,34.06,5.86,4.18,5.67,0.0010901,0.026337,0.247287,0,0.006388,0.07672,0.000019
0,97.5,1,361.93,28.03,369.32,353.64,1010.2,29.28,33.77,8.29,3.2,3.34,0.000641,0.026288,0.247287,0,0.005314,0.063821,0.0000158
0,142.5,1,362.15,30.25,369.32,353.04,1008.8,29.4,34.35,9.11,4.71,7.26,0.0013859,0.026149,0.247287,0,0.012626,0.151638,0.0000375
0,147.5,1,362.95,30.15,369.32,352.73,1008.5,29.63,34.31,10.22,4.5,6.67,0.0012666,0.026013,0.247287,0,0.012945,0.155469,0.0000384
0,152.5,1,365.73,30.18,369.32,352.49,1008.2,29.78,34.56,13.24,4.35,6.26,0.0011833,0.025894,0.247287,0,0.015667,0.188161,0.0000465
0,157.5,1,386.52,29.49,369.32,352.5,1008.1,29.73,34.57,34.02,4.66,7.17,0.0013568,0.025923,0.247287,0,0.046158,0.554358,0.0001371
